Title,Tropes Count
TIE Fighter,159
Starship Promise,159
Gankutsuou,158
Star Wars (Marvel 2015),158
Pitch Black,158
Rise of the Planet of the Apes,158
28 Days Later,158
Pikmin 3,158
Resident Evil: Revelations,158
Star Wars: Battlefront II,158
Endtown,158
Canaan,157
Super Dimension Fortress Macross,157
Men in Black II,157
Idiocracy,157
Coldfire Trilogy,157
The Red Vixen Adventures,157
Mega Man Battle Network 6: Cybeast Gregar and Cybeast Falzar,157
Syphon Filter,157
C.O.P.S. (1988),157
Star Trek: The Motion Picture,156
Star Trek: Nemesis,156
Chappie,156
The Culture,156
Seveneves,156
Age of Wonders: Planetfall,156
Battleborn,156
Mighty Gunvolt,156
Resident Evil: Revelations 2,156
3-2-1 Penguins!,156
Mobile Suit Gundam ZZ,155
Last Exile,155
Strange Days,155
Caliphate,155
Majestic Prince,155
Buck Rogers in the 25th Century,155
Endless Space,155
Dreamfall Chapters,155
Electric Wonderland,155
Inside Job (2021),155
Green Lantern (2011),154
Star Trek: Insurrection,154
Valerian and the City of a Thousand Planets,154
Predator,154
2010: The Year We Make Contact,154
Captain Harlock,154
Blaster Master,154
Command & Conquer: Tiberian Sun,154
Ecco the Dolphin,154
EndWar,154
Mega Man Unlimited,154
Transistor,154
The Bureau: XCOM Declassified,154
Concerned,154
In Our Shadow,154
Adventure Time,153
Iron Sky,153
Species,153
Line of Delirium,153
Planetes,153
Mega Man: Maverick Hunter X,153
Rogue Squadron,153
Paper Girls,152
Halo: Chimera Rising,152
Jurassic World Dominion,152
Circle,152
The Asterisk War,152
Bodacious Space Pirates,152
Malevil,152
V (2009),152
"I Have No Mouth, and I Must Scream",152
Portal,152
Puzzle Quest,152
Muv-Luv Alternative,152
Sherlock Holmes in the 22nd Century,152
Alien³,151
The Acts of Caine,151
Halo: Evolutions,151
Outlaw Star,151
Azure Striker Gunvolt 2,151
Mega Man 2,151
Star Fox: Assault,151
Everyday Heroes,151
Dark Future,150
The Legend of Yan-Kan Mar,150
Starfleet Corps of Engineers,150
Kolchak: The Night Stalker,150
Quake,150
Kid Cosmic,150
Marshal Law,149
The Hitchhiker's Guide to the Galaxy (2005),149
Escape from L.A.,149
Cloud Atlas,149
Knights of Sidonia,149
Transformers: Fall of Cybertron,149
Virtual-ON,149
Shadow Raiders,149
Space Battleship Yamato,148
Battleship,148
Oblivion (2013),148
The Murderbot Diaries,148
Quantum Devil Saga: Avatar Tuner,148
Transhuman Space,148
Sapphire and Steel,148
Snowpiercer,148
Danganronpa Another Episode: Ultra Despair Girls,148
Panzer Dragoon,148
Ratchet: Deadlocked,148
SUGURI,148
Wipeout,148
Romantically Apocalyptic,148
Centurions,148
Alien 40th Anniversary Shorts,147
Killer Klowns from Outer Space,147
Mad Max: Beyond Thunderdome,147
Thunderbirds,147
Aliens: Colonial Marines,147
Emperor: Battle for Dune,147
Star Wars Battlefront II (2017),147
Terra Invicta,147
"Warhammer 40,000: Darktide",147
The Law of Purple,147
Invincible (2021),147
Digimon Universe: App Monsters,146
Terminator 3: Rise of the Machines,146
Sword Art Online: Alternative Gun Gale Online,146
Dragon Ball Super,146
Necromunda,146
AI: The Somnium Files - nirvanA Initiative,146
Battle Clash,146
Dark Savior,146
Mega Man 11,146
Obsidian,146
Rage (2011),146
Space Quest,146
Unreal Tournament III,146
The Inexplicable Adventures of Bob!,146
Outsider,146
Particle Fiction,146
Noein,145
Passengers (2016),145
NEEDLESS,145
Almost Human,145
Ape Escape,145
Call of Duty: Black Ops III,145
Mega Man X6,145
Mega Man X DiVE,145
Metal Max,145
Pandorum,144
Sky Captain and the World of Tomorrow,144
Upgrade,144
The Lunar Chronicles,144
Redshirts,144
The Five Star Stories,144
C°ntinuum: roleplaying in The Yet,144
13 Sentinels: Aegis Rim,144
StarCraft II: Nova Covert Ops,144
Unreal Tournament,144
Battle: Los Angeles,143
Dark City,143
Lord of Light,143
Ghostrunner,143
Mega Man X4,143
Scryed,142
The Flash (2023),142
Ender's Game,142
Pixels,142
The Invisible Man (2020),142
Firestarter,142
Helix,142
Travelers,142
Mega Man Battle Network 5: Team Colonel and Team ProtoMan,142
Star Ocean: Till the End of Time,142
Transformers: War for Cybertron,142
Universe at War,142
428: Shibuya Scramble,142
Drive (Dave Kellett),142
Doctor Who (Titan),141
Strikeforce: Morituri,141
Sorry to Bother You,141
Ender's Game,141
Gundam Vs Series,141
Katamari Damacy,141
Mega Man 7,141
No More Heroes III,141
Tex Murphy,141
Gundam Build Divers Re:RISE,140
Macross7,140
Rick and Morty (Oni),140
Resident Evil: The Final Chapter,140
Paul,140
Frankenstein,140
Legacy of the Aldenata,140
Lucifer's Star,140
Under the Dome,140
X/1999,140
Under the Dome,140
Beneath a Steel Sky,140
Call Of Duty Infinite Warfare,140
Factorio,140
Unreal,140
Voltron,139
Superman III,139
Zones of Thought,139
Pluto,139
High on Life,139
Jak and Daxter: The Precursor Legacy,139
The Talos Principle,139
